ID,Gender,Household income,Method,Education,Household size,Rainfall,Ave temp,Travel time,Amount spent,Availability,Quality,Willingness to pay,Kitchen Sink,ToiletWC,Garden,Car,Volume in lpcd
171,female,70000,delivered,1,5,0,75,122,210,not_often,fair,260,0,0,0,0,10
172,female,50000,delivered,1,4,0,75,132,180,often,fair,230,0,0,0,0,20
173,female,80000,delivered,1,4,0,75,132,210,often,good,260,0,0,0,0,20
174,female,80000,delivered,1,5,0,75,132,210,not_often,fair,260,0,0,0,0,10
175,female,80000,delivered,1,6,0,75,122,190,often,fair,240,0,0,0,0,10
176,female,80000,delivered,1,3,0,75,132,210,not_often,good,260,0,0,0,0,20
177,female,80000,delivered,1,4,0,75,120,210,often,good,260,0,0,0,0,20
178,female,80000,delivered,1,4,0,75,120,400,often,fair,450,0,0,0,0,20
179,female,80000,delivered,1,5,0,75,130,210,not_often,good,260,0,0,0,0,10
180,female,80000,delivered,1,3,0,75,50,120,not_often,fair,170,0,0,0,0,40
181,female,80000,delivered,1,4,0,75,90,280,not_often,fair,330,0,0,0,0,30
182,female,50000,delivered,1,4,0,75,90,120,often,good,170,0,0,0,0,30
183,female,60000,delivered,1,3,0,75,90,120,not_often,fair,170,0,0,0,0,30
184,female,50000,delivered,1,4,0,75,55,165,not_often,good,210,0,0,0,0,50
185,female,70000,carried,1,5,0,75,130,380,not_often,good,430,0,0,0,0,20
186,female,95000,carried,1,5,0,75,130,165,not_often,good,210,0,0,0,0,20
187,female,95000,delivered,1,6,0,75,130,120,often,good,170,0,0,0,1,20
188,female,65000,delivered,1,5,0,75,120,165,not_often,good,210,0,0,0,0,20
189,female,45000,delivered,1,3,0,75,20,280,not_often,good,330,0,0,0,0,100
190,female,40000,delivered,1,4,0,75,20,360,not_often,fair,410,0,0,0,0,100
191,female,55000,carried,1,3,0,75,13,450,not_often,fair,500,0,0,0,0,120
192,female,55000,delivered,1,3,0,75,13,450,often,fair,500,0,0,0,0,120
193,female,85000,delivered,1,6,0,75,50,165,often,fair,210,0,0,0,0,50
194,female,90000,delivered,1,5,0,75,40,210,often,fair,260,0,0,0,0,60
195,female,60000,carried,1,3,0,75,13,280,often,good,330,0,0,0,0,130
196,female,100000,carried,1,4,0,75,35,285,not_often,good,330,0,0,0,0,80
197,female,100000,carried,1,6,0,75,40,210,often,good,260,0,0,0,0,60
198,female,40000,delivered,1,4,0,75,30,330,often,good,380,0,0,0,0,90
199,female,50000,delivered,1,3,0,75,13,480,not_often,fair,300,0,0,0,0,130
200,female,75000,delivered,1,4,0,75,30,330,often,good,380,0,0,0,0,90
201,female,95000,delivered,1,6,0,75,40,285,not_often,good,330,0,0,0,0,80
202,female,55000,delivered,1,3,0,75,13,570,often,good,280,0,0,0,0,150
203,female,65000,delivered,1,4,0,75,13,480,not_often,good,300,0,0,0,0,130
204,female,105000,carried,1,3,0,75,5,720,often,fair,380,0,0,0,0,190
205,male,65000,carried,1,5,0,75,20,300,often,good,350,0,0,0,0,110
206,male,60000,delivered,1,3,0,75,13,600,not_often,fair,450,0,0,0,0,160
207,female,75000,carried,1,4,0,75,20,450,often,fair,500,0,0,0,0,120
208,male,105000,carried,1,4,0,75,20,380,often,good,430,0,0,0,0,120
209,female,45000,carried,1,3,0,75,5,765,often,good,280,0,0,0,0,200
210,female,80000,delivered,1,4,0,75,5,525,not_often,fair,480,0,0,0,0,140
211,female,80000,carried,1,4,0,75,5,600,not_often,good,450,0,0,0,0,160
212,female,95000,delivered,1,6,0,75,54,165,not_often,good,210,0,0,0,0,50
213,female,85000,delivered,1,6,0,75,54,270,often,fair,320,0,0,0,0,50
214,female,40000,carried,1,4,0,75,44,240,often,good,290,0,0,0,0,70
215,female,100000,carried,1,4,0,75,34,310,not_often,fair,360,0,0,0,1,100
216,female,95000,carried,1,6,0,75,45,210,not_often,fair,260,0,0,0,0,60
217,female,95000,carried,1,6,0,75,45,380,often,fair,430,0,0,0,0,60
218,female,95000,carried,1,6,0,75,44,285,often,good,330,0,0,0,0,80
219,female,95000,carried,1,4,0,75,13,450,often,fair,500,0,0,0,0,120
220,female,95000,delivered,1,6,0,75,54,165,often,good,210,0,0,0,0,50
221,female,95000,carried,1,4,0,75,44,240,often,fair,290,0,0,0,0,70
222,female,50000,carried,1,4,0,75,25,360,often,fair,410,0,0,0,0,100
223,female,75000,carried,1,4,0,75,13,525,not_often,fair,480,0,0,0,0,140
224,female,80000,delivered,1,4,0,75,35,285,often,good,330,0,0,0,0,80
225,female,75000,delivered,1,4,0,75,5,570,often,good,280,0,0,0,0,150
226,female,80000,delivered,1,4,0,75,34,330,often,fair,380,0,0,0,0,90
227,female,80000,carried,1,6,0,75,54,165,often,fair,210,0,0,0,0,50
228,female,80000,delivered,1,4,0,75,44,300,often,fair,350,0,0,0,0,80
229,female,100000,delivered,1,3,0,75,24,360,not_often,fair,410,0,0,0,0,100
230,female,55000,carried,1,3,0,75,24,360,not_often,fair,410,0,0,0,0,100
231,female,60000,delivered,1,3,0,75,13,480,often,good,300,0,0,0,0,130
232,female,50000,delivered,1,4,0,75,34,330,often,good,380,0,0,0,0,90
233,female,45000,delivered,1,3,0,75,5,690,often,very good,500,0,0,0,0,180
234,female,95000,delivered,1,6,0,75,54,320,not_often,fair,370,0,0,0,0,50
235,male,50000,carried,1,3,0,75,13,480,not_often,fair,300,0,0,0,0,130
236,female,65000,delivered,1,5,0,75,48,210,not_often,good,260,0,0,0,0,60
237,female,90000,delivered,1,6,0,75,84,165,not_often,fair,210,0,0,0,0,50
238,male,90000,delivered,1,6,0,75,64,200,not_often,good,250,0,0,0,0,40
239,female,55000,delivered,1,3,0,75,34,330,often,fair,380,0,0,0,0,90
240,male,105000,delivered,1,3,0,75,38,285,not_often,good,330,0,0,0,0,80
241,female,55000,delivered,1,3,0,75,44,220,not_often,fair,270,0,0,0,0,80
242,female,105000,delivered,1,6,0,75,94,285,not_often,fair,330,0,0,0,0,30
243,female,95000,delivered,1,6,0,75,94,285,not_often,good,330,0,0,0,0,30
244,male,100000,delivered,1,3,0,75,84,270,not_often,good,320,0,0,0,0,50
245,male,90000,delivered,1,6,0,75,134,165,not_often,good,210,0,0,0,0,20
246,female,70000,delivered,1,5,0,75,113,165,often,fair,210,0,0,0,0,20
247,male,100000,delivered,1,2,0,75,84,320,often,good,370,0,0,0,0,50
248,male,60000,delivered,1,3,0,75,64,120,not_often,fair,170,0,0,0,0,40
249,female,100000,delivered,1,4,0,75,134,210,often,fair,260,0,0,0,1,20
250,female,45000,delivered,1,3,0,75,94,120,not_often,good,170,0,0,0,0,30
251,female,70000,delivered,1,6,0,75,124,410,not_often,good,460,0,0,0,0,10
252,male,45000,delivered,1,3,0,75,134,120,often,good,170,0,0,0,0,20
253,male,95000,delivered,1,6,0,75,124,120,not_often,good,170,0,0,0,0,10
254,female,65000,delivered,1,5,0,75,134,120,not_often,fair,170,0,0,0,0,20
255,male,90000,delivered,1,6,0,75,124,120,not_often,good,170,0,0,0,0,10
256,male,90000,delivered,1,6,0,75,124,120,often,good,170,0,0,0,0,10
257,male,90000,delivered,1,4,0,75,134,120,often,good,170,0,0,0,0,20
258,male,90000,delivered,1,6,0,75,124,120,not_often,good,170,0,0,0,0,10
259,female,90000,delivered,1,5,0,75,124,120,often,good,170,0,0,0,0,10
260,male,90000,delivered,1,6,0,75,134,120,often,good,170,0,0,0,0,10
261,male,70000,delivered,1,5,0,75,94,90,not_often,fair,140,0,0,0,0,30
262,female,60000,delivered,1,5,0,75,134,90,often,good,140,0,0,0,0,20
263,male,65000,delivered,1,5,0,75,134,90,not_often,good,140,0,0,0,0,20
