ID,Gender,Education,Household income,Household size,Method,Rainfall,Ave temp,Travel time,Amount spent,Availability,Quality,Willingness to pay,Kitchen Sink,ToiletWC,Garden,Car,Volume in lpcd,Shortest distance,Height diff,LULC
86,female,4,250000,8,waterboard,0,75,9,210,not_often,fair,300,1,1,0,1,60,0,0,0
87,female,3,300000,6,inyard,0,75,9,550,often,good,600,1,1,1,1,130,0,0,0
88,male,2,350000,7,inyard,0,75,12,285,often,good,300,1,1,1,1,80,0,0,0
89,female,4,250000,5,inyard,0,75,6,450,often,fair,500,1,1,1,1,140,0,0,0
90,male,4,300000,4,waterboard,0,75,6,500,not_often,good,600,0,0,1,0,170,0,0,0
91,female,3,350000,8,waterboard,0,75,5,285,not_often,good,300,1,1,1,1,80,0,0,0
92,female,4,400000,4,inyard,0,75,6,600,not_often,good,700,1,1,0,1,170,0,0,0
93,male,3,450000,6,waterboard,0,75,13,405,not_often,fair,500,1,1,1,1,110,0,0,0
94,female,2,450000,7,delivered,0,75,13,285,often,fair,300,1,1,0,0,80,0,0,0
95,female,4,250000,8,waterboard,0,75,13,210,not_often,very good,300,1,1,1,1,60,0,0,0
96,male,2,300000,6,waterboard,0,75,6,180,not_often,very good,200,1,1,1,2,80,0,0,0
97,female,3,250000,7,waterboard,0,75,9,240,often,very good,300,1,1,1,1,70,0,0,0
98,male,3,300000,8,waterboard,0,75,5,210,not_often,fair,300,1,1,1,3,60,0,0,0
99,female,4,350000,5,waterboard,0,75,9,750,not_often,fair,800,1,1,1,1,140,0,0,0
100,male,4,400000,4,waterboard,0,75,2,700,often,fair,800,1,1,1,1,150,0,0,0
