ID,Gender,Household income,Method,Education,Household size,Rainfall,Ave temp,Travel time,Amount spent,Availability,Quality,Willingness to pay,Kitchen Sink,ToiletWC,Garden,Car,Volume in lpcd,Shortest distance,Height diff,LULC
236,female,65000,delivered,1,5,284,76,48,210,not_often,good,260,0,0,0,0,60,172.24,4,7
237,female,90000,delivered,1,6,284,76,84,165,not_often,fair,210,0,0,0,0,50,201.09,7,7
238,male,90000,delivered,1,6,284,76,64,200,not_often,good,250,0,0,0,0,40,234.88,6,7
239,female,55000,delivered,1,3,284,76,34,330,often,fair,380,0,0,0,0,90,223.29,7,7
240,male,105000,delivered,1,3,284,76,38,285,not_often,good,330,0,0,0,0,80,251.73,10,7
241,female,55000,delivered,1,3,284,76,44,220,not_often,fair,270,0,0,0,0,80,304.38,17,7
242,female,105000,delivered,1,6,284,76,94,285,not_often,fair,330,0,0,0,0,30,367.9,14,7
243,female,95000,delivered,1,6,284,76,94,285,not_often,good,330,0,0,0,0,30,369.86,18,7
244,male,100000,delivered,1,3,284,76,84,270,not_often,good,320,0,0,0,0,50,438.77,15,7
245,male,90000,delivered,1,6,284,76,134,165,not_often,good,210,0,0,0,0,20,446.23,0,7
246,female,70000,delivered,1,5,284,76,113,165,often,fair,210,0,0,0,0,20,378.76,2,7
247,male,100000,delivered,1,2,284,76,84,320,often,good,370,0,0,0,0,50,462.39,22,7
248,male,60000,delivered,1,3,284,76,64,120,not_often,fair,170,0,0,0,0,40,421.35,19,7
249,female,100000,delivered,1,4,284,76,134,210,often,fair,260,0,0,0,1,20,463.04,23,7
250,female,45000,delivered,1,3,284,76,94,120,not_often,good,170,0,0,0,0,30,473.06,18,7
251,female,70000,delivered,1,6,284,76,124,410,not_often,good,460,0,0,0,0,10,544.23,22,7
252,male,45000,delivered,1,3,284,76,134,120,often,good,170,0,0,0,0,20,527.8,19,7
253,male,95000,delivered,1,6,284,76,124,120,not_often,good,170,0,0,0,0,10,374.88,2,7
254,female,65000,delivered,1,5,284,76,134,120,not_often,fair,170,0,0,0,0,20,365,0,7
255,male,90000,delivered,1,6,284,76,124,120,not_often,good,170,0,0,0,0,10,440.65,3,7
256,male,90000,delivered,1,6,284,76,124,120,often,good,170,0,0,0,0,10,509.4,3,7
257,male,90000,delivered,1,4,284,76,134,120,often,good,170,0,0,0,0,20,578.28,8,7
258,male,90000,delivered,1,6,284,76,124,120,not_often,good,170,0,0,0,0,10,598.07,3,7
259,female,90000,delivered,1,5,284,76,124,120,often,good,170,0,0,0,0,10,541.94,28,7
260,male,90000,delivered,1,6,284,76,134,120,often,good,170,0,0,0,0,10,537.82,9,7
261,male,70000,delivered,1,5,284,76,94,90,not_often,fair,140,0,0,0,0,30,419.44,13,7
262,female,60000,delivered,1,5,284,76,134,90,often,good,140,0,0,0,0,20,467.74,27,7
263,male,65000,delivered,1,5,284,76,134,90,not_often,good,140,0,0,0,0,20,465.28,30,7
264,male,80000,delivered,1,4,284,76,134,90,often,good,140,0,0,0,0,20,496.23,28,7
265,male,55000,delivered,1,3,284,76,134,90,often,fair,140,0,0,0,0,20,578.36,35,7
266,male,80000,delivered,1,4,284,76,134,90,not_often,very good,140,0,0,0,0,20,578.02,21,7
267,female,80000,delivered,1,6,284,76,134,90,not_often,fair,140,0,0,0,0,10,548.89,15,7
268,male,80000,delivered,1,3,284,76,134,90,not_often,good,140,0,0,0,0,20,569.17,13,7
269,female,80000,delivered,1,3,284,76,84,120,not_often,fair,170,0,0,0,0,40,405.76,11,7
270,female,80000,delivered,1,4,284,76,94,120,not_often,good,170,0,0,0,0,30,380.87,10,7
271,female,65000,delivered,1,5,284,76,94,120,not_often,fair,170,0,0,0,0,30,351.37,6,7
272,male,45000,delivered,1,3,284,76,84,165,not_often,good,210,0,0,0,0,50,405.94,8,7
273,male,50000,delivered,1,4,284,76,84,165,often,good,210,0,0,0,0,50,431,9,7
274,female,40000,delivered,1,4,284,76,88,165,not_often,good,210,0,0,0,0,50,414.42,8,7
275,male,85000,delivered,1,6,284,76,94,165,not_often,fair,210,0,0,0,0,30,430.59,8,7
276,female,105000,delivered,1,6,284,76,94,165,often,fair,210,0,0,0,1,30,475.84,10,7
277,female,75000,delivered,1,4,284,76,84,120,often,fair,170,0,0,0,0,40,509.01,6,7
278,male,85000,delivered,1,6,284,76,134,120,not_often,good,170,0,0,0,0,20,576.85,4,7
279,female,65000,delivered,1,5,284,76,134,120,often,good,170,0,0,0,0,20,606.85,36,7
280,female,70000,delivered,1,5,284,76,134,120,often,good,170,0,0,0,0,20,597.34,1,7
